"reserve","relationship","county","state","state_fips","county_fips"
"ACE","intersects","Charleston County","SC","45019","45"
"ACE","intersects","Colleton County","SC","45029","45"
"ACE","intersects","Beaufort County","SC","45013","45"
"APA","intersects","Franklin County","FL","12037","12"
"APA","intersects","Liberty County","FL","12077","12"
"APA","intersects","Gulf County","FL","12045","12"
"APA","intersects","Calhoun County","FL","12013","12"
"CBM","intersects","Harford County","MD","24025","24"
"CBM","intersects","Somerset County","MD","24039","24"
"CBM","intersects","Prince George's County","MD","24033","24"
"CBM","intersects","Anne Arundel County","MD","24003","24"
"CBV","intersects","York County","VA","51199","51"
"CBV","intersects","Gloucester County","VA","51073","51"
"CBV","intersects","James City County","VA","51095","51"
"CBV","intersects","New Kent County","VA","51127","51"
"DEL","intersects","New Castle County","DE","10003","10"
"DEL","intersects","Kent County","DE","10001","10"
"ELK","intersects","Monterey County","CA","06053","06"
"GND","intersects","Jackson County","MS","28059","28"
"GRB","intersects","Rockingham County","NH","33015","33"
"GRB","intersects","Strafford County","NH","33017","33"
"GTM","intersects","Flagler County","FL","12035","12"
"GTM","intersects","St. Johns County","FL","12109","12"
"HEE","intersects","Honolulu County","HI","15003","15"
"HUD","intersects","Greene County","NY","36039","36"
"HUD","intersects","Rockland County","NY","36087","36"
"HUD","intersects","Westchester County","NY","36119","36"
"HUD","intersects","Dutchess County","NY","36027","36"
"HUD","intersects","Columbia County","NY","36021","36"
"JAC","intersects","Atlantic County","NJ","34001","34"
"JAC","intersects","Burlington County","NJ","34005","34"
"JAC","intersects","Ocean County","NJ","34029","34"
"JOB","intersects","Guayama Municipio","PR","72057","72"
"JOB","intersects","Salinas Municipio","PR","72123","72"
"KAC","intersects","Kenai Peninsula Borough","AK","02122","02"
"LKS","intersects","Douglas County","WI","55031","55"
"LKS","intersects","St. Louis County","MN","27137","27"
"MAR","intersects","Refugio County","TX","48391","48"
"MAR","intersects","Nueces County","TX","48355","48"
"MAR","intersects","San Patricio County","TX","48409","48"
"MAR","intersects","Aransas County","TX","48007","48"
"MAR","intersects","Calhoun County","TX","48057","48"
"NAR","intersects","Kent County","RI","44003","44"
"NAR","intersects","Newport County","RI","44005","44"
"NIW","intersects","Georgetown County","SC","45043","45"
"NOC","intersects","Brunswick County","NC","37019","37"
"NOC","intersects","Currituck County","NC","37053","37"
"NOC","intersects","Carteret County","NC","37031","37"
"NOC","intersects","New Hanover County","NC","37129","37"
"OWC","intersects","Erie County","OH","39043","39"
"PDB","intersects","Skagit County","WA","53057","53"
"RKB","intersects","Collier County","FL","12021","12"
"SAP","intersects","McIntosh County","GA","13191","13"
"SFB","intersects","Solano County","CA","06095","06"
"SFB","intersects","Marin County","CA","06041","06"
"SOS","intersects","Coos County","OR","41011","41"
"TJR","intersects","San Diego County","CA","06073","06"
"WEL","intersects","York County","ME","23031","23"
"WKB","intersects","Baldwin County","AL","01003","01"
"WQB","intersects","Barnstable County","MA","25001","25"
